,id,pred_label,probs
0,0,org:product,"[0, 0.0063857264, 0.40840867, 0.5538843, 0.00033416177, 0.010673212, 0.00026228657, 0.0012841041, 0.0019210911, 0.00063878915, 0.00051958556, 0.00014584196, 0.00026203057, 0.000325466, 0.00014527338, 0.00015539966, 0.00034141866, 0.00042283276, 0.00031637796, 0.0031953044, 0.0040629804, 0.00026408568, 0.0011412175, 0.00047796397, 0.00049554993, 0.00045098312, 0.00021386312, 0.0005321669, 0.0023780295, 0.000361315]"
1,1,per:alternate_names,"[0, 9.7666714e-05, 6.195962e-05, 0.00049088773, 0.028324509, 0.0009185275, 0.00139922, 9.6152544e-05, 0.0017791742, 8.4441e-05, 0.0006743099, 0.0002543197, 0.9602224, 0.00028614883, 0.0004250224, 0.000572489, 0.0005160655, 0.00052843266, 9.112434e-05, 0.00013065712, 0.00012358294, 0.0010891816, 0.000112194364, 7.840081e-05, 0.00015622345, 0.0004459637, 0.00055122975, 0.00018615514, 0.00011552993, 0.00018798195]"
2,2,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,3,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,4,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,5,org:member_of,"[0, 0.015492573, 0.010565018, 0.0020926008, 0.00015995202, 0.002849095, 0.00027556383, 0.041949, 0.00023409649, 0.00066883536, 0.00033304322, 0.0002691804, 0.00012109237, 0.00035591025, 0.0007986367, 0.00036828543, 0.00053742435, 0.00030651432, 0.00047334988, 0.007624574, 0.9110334, 0.00038558312, 0.0007182567, 0.00027208755, 0.00024725514, 0.00026423187, 0.00015716492, 0.00014115716, 0.0011852175, 0.00012085609]"
6,6,per:employee_of,"[0, 4.41578e-05, 1.7374434e-05, 1.2230412e-05, 0.0001407922, 1.3006497e-05, 0.9979874, 1.0835544e-05, 9.206366e-05, 2.5515272e-05, 1.5781028e-05, 0.0001517873, 0.00014217384, 1.2326335e-05, 0.000108001834, 0.00087347574, 1.7743088e-05, 1.5280568e-05, 1.5250751e-05, 2.2189712e-05, 1.0139368e-05, 2.2189712e-05, 1.4035936e-05, 4.0640367e-05, 2.8180842e-05, 2.6056658e-05, 3.812104e-05, 2.973585e-05, 2.8997418e-05, 4.4623812e-05]"
7,7,per:spouse,"[0, 7.0599206e-05, 4.791728e-05, 6.686079e-05, 3.223303e-05, 2.8431665e-05, 3.426166e-05, 3.9977782e-05, 6.0984883e-05, 3.0771997e-05, 0.00011081422, 5.3966993e-05, 4.1855455e-05, 0.00013643698, 0.00021601234, 1.7835571e-05, 0.00011283442, 0.99830294, 7.3935415e-05, 2.4497662e-05, 2.647536e-05, 4.3650485e-05, 7.227562e-05, 3.373048e-05, 3.5748468e-05, 5.628144e-05, 3.1180367e-05, 9.5387986e-05, 4.8422964e-05, 5.375003e-05]"
8,8,org:members,"[0, 0.0013534067, 0.979076, 0.0021860956, 5.47813e-05, 0.0018070351, 0.00022873135, 0.008339343, 0.00015469184, 0.0010072408, 0.00024348324, 0.00023564663, 7.436705e-05, 0.00025629209, 0.00017874606, 9.9779056e-05, 0.00017874606, 0.00011295413, 0.00013505643, 0.00082610996, 0.0015201909, 9.428458e-05, 0.00027242216, 0.0003653778, 0.00018962495, 0.00016085405, 0.00011597202, 0.00025691855, 0.00033957325, 0.00013624868]"
9,9,org:top_members/employees,"[0, 0.81936926, 0.012320557, 0.021246474, 0.0008298712, 0.10747785, 0.0006691033, 0.002589474, 0.0008731015, 0.0030237085, 0.0009612583, 0.0006390867, 0.005685003, 0.0008417059, 0.0003380931, 0.00042406376, 0.00055254356, 0.00041262538, 0.00039837102, 0.0012030418, 0.0017308674, 0.00038460913, 0.0011835232, 0.0011293257, 0.0005801928, 0.0007018994, 0.00072453375, 0.00059221406, 0.01242932, 0.00068832346]"
10,10,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,11,org:dissolved,"[0, 0.00028890188, 0.00022215866, 0.0002962227, 0.00012516856, 0.00022937865, 7.960084e-05, 0.00025758272, 0.00021490343, 0.0005231337, 0.00018753363, 0.00011083906, 0.00010151318, 0.00030024545, 0.00017712032, 7.326015e-05, 0.00014562407, 0.00042947842, 0.0052168122, 0.00033992366, 0.00029384572, 0.00016925714, 0.9883404, 0.00042189195, 0.0006197218, 8.277177e-05, 0.00017133594, 0.0002718624, 0.00016606448, 0.00014350646]"
12,12,org:product,"[0, 0.0038624317, 0.038366914, 0.9223114, 0.00013333188, 0.011678415, 0.000116407755, 0.0007326725, 0.00069317245, 0.0021133402, 0.00032647362, 9.908384e-05, 0.0002768041, 0.00023173066, 0.00014830733, 7.4646465e-05, 0.00042022511, 0.00022992733, 0.00076689746, 0.005741849, 0.007510756, 0.00023630113, 0.0010969219, 0.00039457227, 0.00028034064, 0.00042497105, 0.0001761193, 0.00028895726, 0.0009555268, 0.00031152333]"
13,13,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,14,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,15,per:colleagues,"[0, 0.00017858186, 3.0507035e-05, 2.9223947e-05, 6.1161256e-05, 4.6336318e-05, 0.0001206282, 2.6504971e-05, 4.350769e-05, 2.6712853e-05, 0.00016395596, 9.312113e-05, 0.00013225795, 0.00019776865, 0.9969825, 7.72019e-05, 0.00039177656, 0.0005006007, 4.654039e-05, 8.259837e-05, 5.2250176e-05, 0.00030392635, 5.237789e-05, 2.8770872e-05, 7.400004e-05, 2.8546978e-05, 3.2538057e-05, 7.953595e-05, 6.89672e-05, 4.7481495e-05]"
16,16,per:alternate_names,"[0, 1.6037066e-05, 1.1755906e-05, 4.654094e-05, 9.472952e-05, 0.00011340407, 0.0002693985, 1.363709e-05, 6.607134e-05, 1.789064e-05, 3.4317138e-05, 3.203398e-05, 0.99845576, 3.92872e-05, 3.921054e-05, 4.033687e-05, 6.436575e-05, 3.018143e-05, 2.1349651e-05, 2.2113576e-05, 2.1855945e-05, 5.4166667e-05, 1.938221e-05, 3.5701603e-05, 3.7078502e-05, 0.000109486486, 0.00020454766, 3.674507e-05, 2.3174827e-05, 2.9396031e-05]"
17,17,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,18,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,19,org:product,"[0, 0.000111346046, 0.0005114138, 0.99492365, 0.00018919804, 0.0004927834, 4.719871e-05, 5.2963394e-05, 0.0020848506, 6.3886044e-05, 7.2711206e-05, 3.483615e-05, 0.00015243371, 3.5906884e-05, 4.3185268e-05, 2.5862759e-05, 7.296016e-05, 8.643105e-05, 6.56891e-05, 0.00010263942, 0.00013641988, 5.2834243e-05, 6.978925e-05, 4.8223716e-05, 6.382369e-05, 5.8168902e-05, 4.4166223e-05, 8.451136e-05, 0.00017803912, 9.425623e-05]"
